method,method_short,scene,mode,run,partial,iteration_offset,iteration,total_iterations,images_seen,stage,training_time_s,wall_time_s,benchmark_overhead_s,psnr,ssim,lpips,eval_l1_loss,eval_photometric_loss,eval_loss,num_gaussians,train_batch_loss,eval_duration_s
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,1,3001,3001,fine,44.45737600326538,44.45737600326538,0.0,7.643062472343445,0.6897245198488235,0.28812097758054733,0.24183398559689523,0.2555222845077515,0.24183398559689523,27031,0.2864602208137512,11.688493728637695
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,1000,4000,4000,fine,108.2456157207489,119.9341094493866,11.688493728637695,29.955392265319823,0.976885786652565,0.04070374798029661,0.006331270420923829,0.009687859006226068,0.006331270420923829,29898,0.004691841080784798,4.462922811508179
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,2000,5000,5000,fine,166.24469423294067,182.39611077308655,16.151416540145874,27.9024338722229,0.9719234347343445,0.035060578398406504,0.0066604731837287545,0.010943691600114103,0.0066604731837287545,38217,0.004958009347319603,4.353711843490601
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,3000,6000,6000,fine,225.76665544509888,246.27178382873535,20.505128383636475,32.79258403778076,0.9848742604255676,0.027620963379740716,0.004196171485818923,0.006382085103541622,0.004196171485818923,47106,0.0036833728663623333,4.334055185317993
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,4000,7000,7000,fine,287.7116274833679,312.5508110523224,24.839183568954468,33.71812896728515,0.9866536825895309,0.02492745304480195,0.003884356759954244,0.005776748890057215,0.003884356759954244,55819,0.003335376037284732,4.343550205230713
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,5000,8000,8000,fine,351.9153320789337,381.0980658531189,29.18273377418518,33.60795707702637,0.987012404203415,0.02321910299360752,0.0038167459541000428,0.0056509159225970424,0.0038167459541000428,64794,0.003467072267085314,4.395832538604736
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,6000,9000,9000,fine,419.12992572784424,452.70849204063416,33.57856631278992,34.841288566589355,0.989053550362587,0.02118684849701822,0.0033841453259810805,0.00489660618826746,0.0033841453259810805,73601,0.003488861257210374,4.413695335388184
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,7000,10000,10000,fine,491.287456035614,529.2797176837921,37.9922616481781,35.67175846099853,0.9898654043674469,0.019948740396648644,0.003165641881059855,0.004559432631358513,0.003165641881059855,81209,0.0024380008690059185,4.426225900650024
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,8000,11000,11000,fine,566.6361203193665,609.0546078681946,42.418487548828125,36.2352710723877,0.9904263943433762,0.019319621520116924,0.0030515185208059847,0.0043559359479695475,0.0030515185208059847,88774,0.002175613073632121,4.458197355270386
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,9000,12000,12000,fine,644.869306564331,691.7459914684296,46.87668490409851,35.613150882720944,0.9900384485721588,0.018759047193452717,0.003145062376279384,0.00450836018659174,0.003145062376279384,95813,0.0020746656227856874,4.526215076446533
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,10000,13000,13000,fine,729.1232159137726,780.5261158943176,51.402899980545044,36.489451026916505,0.9908286958932877,0.018343180418014526,0.0029687475180253386,0.00420925883576273,0.0029687475180253386,101023,0.0018300977535545826,4.501106262207031
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,11000,14000,14000,fine,814.2939343452454,870.1979405879974,55.904006242752075,36.630115604400636,0.9908063024282455,0.017994256829842924,0.00294111535185948,0.00419163179583848,0.00294111535185948,106231,0.001740179257467389,4.51410698890686
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,12000,15000,15000,fine,902.1510729789734,962.5691862106323,60.418113231658936,36.7596715927124,0.9911571919918061,0.017319883964955807,0.0029254411230795084,0.004108914500102392,0.0029254411230795084,111198,0.001815684838220477,4.6011786460876465
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,13000,16000,16000,fine,996.1869690418243,1061.206260919571,65.01929187774658,37.05035247802734,0.9912720143795013,0.016911216732114553,0.0028427215409465136,0.004019774356856951,0.0028427215409465136,114287,0.0016433499986305833,4.601036548614502
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,14000,17000,17000,fine,1089.685860157013,1159.306188583374,69.62032842636108,37.083351135253906,0.9912879586219787,0.016925005242228508,0.002859240851830691,0.00402980095706881,0.002859240851830691,117498,0.001470522372983396,4.596364259719849
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,3000,15000,18000,18000,fine,1184.4401273727417,1258.6568200588226,74.21669268608093,37.05009784698486,0.9913641422986984,0.01665359064936638,0.0028483959031291306,0.004005888262763624,0.0028483959031291306,120372,0.001766704022884369,4.608424425125122
