method,method_short,scene,mode,run,partial,missing,status,target_reached,n_entries,best_psnr,best_psnr_iteration,process_wall_time_s,peak_vram_mb,model_storage_mb,full_folder_mb,target_eval_loss,max_iterations,batch_size,iteration_offset,eval_every_n_iters,eval_every_n_seconds,final_iteration,final_total_iterations,final_training_time_s,final_wall_time_s,final_benchmark_overhead_s,final_psnr,final_ssim,final_lpips,final_eval_l1_loss,final_num_gaussians,final_images_seen,best_psnr_iter,best_psnr_time_s,best_psnr_ngauss,best_ssim,best_ssim_iter,best_ssim_time_s,best_ssim_ngauss,best_lpips,best_lpips_iter,best_lpips_time_s,best_lpips_ngauss,best_eval_l1_loss,best_eval_l1_loss_iter,best_eval_l1_loss_time_s,best_eval_l1_loss_ngauss,fc_iteration,fc_total_iterations,fc_training_time_s,fc_wall_time_s,fc_images_seen,fc_psnr,fc_ssim,fc_lpips,fc_eval_l1_loss,fc_num_gaussians
4DGaussians (Wu et al.),4DGaussians,bouncingballs,iterations,bouncingballs_iters27000,False,False,finished,False,28,37.11958723068237,19000.0,2461.805992603302,1805.0,,,0.02,27000,1,3000,1000,300.0,27000.0,30000.0,2284.2402787208557,2413.270404100418,129.03012537956238,37.0787992477417,0.9914388328790664,0.016036802250891925,0.0029318599204998463,120372.0,30000.0,19000.0,1557.752457857132,120372.0,0.9915353298187256,25000.0,2105.347707748413,120372.0,0.015852726344019175,25000.0,2105.347707748413,120372.0,0.0028427215409465136,13000.0,996.1869690418243,114287.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,bouncingballs,target_eval_loss,bouncingballs_loss0p005083,False,False,stopped_on_target,True,7,32.364567852020265,3078.0,288.4419846534729,1585.0,24.2821,26.028,0.005083,27000,1,3000,1000,30.0,3078.0,6078.0,224.50842809677124,258.09422874450684,33.585800647735596,32.364567852020265,0.9830032348632812,0.03138736747205258,0.0048501438810490075,48071.0,6078.0,3078.0,224.50842809677124,48071.0,0.9830032348632812,3078.0,224.50842809677124,48071.0,0.029538901522755623,2576.0,194.5018916130066,43507.0,0.0048501438810490075,3078.0,224.50842809677124,48071.0,2576.0,5576.0,194.5018916130066,224.0137665271759,5576.0,31.336841297149657,0.981890007853508,0.029538901522755623,0.004857899527996779,43507.0
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,False,finished,False,28,38.65237560272217,27000.0,899.5082948207855,1579.0,12.8718,18.5908,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,756.209963798523,873.6707942485809,117.46083045005798,38.65237560272217,0.9762926816940307,0.050369065068662164,0.0025807462516240776,7259.0,30000.0,27000.0,756.209963798523,7259.0,0.9762926816940307,27000.0,756.209963798523,7259.0,0.050369065068662164,27000.0,756.209963798523,7259.0,0.0025807462516240776,27000.0,756.209963798523,7259.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,hellwarrior,target_eval_loss,hellwarrior_loss0p005358,False,False,stopped_on_target,True,3,34.97339515686035,2053.0,124.71318554878235,1547.0,12.4428,13.4696,0.005358,27000,1,3000,1000,30.0,2053.0,5053.0,91.01702332496643,100.26876902580261,9.251745700836182,34.97339515686035,0.9553779333829879,0.09066641740500928,0.004382774222176522,5445.0,5053.0,2053.0,91.01702332496643,5445.0,0.9553779333829879,2053.0,91.01702332496643,5445.0,0.09066641740500928,2053.0,91.01702332496643,5445.0,0.004382774222176522,2053.0,91.01702332496643,5445.0,1019.0,4019.0,61.01320958137512,66.43042731285095,4019.0,33.36820201873779,0.9468143850564956,0.10155987106263638,0.005336882080882788,4741.0
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,False,finished,False,28,33.91882658004761,27000.0,1035.402200460434,1599.0,17.9965,23.9841,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,890.8171164989471,1010.5407452583313,119.72362875938416,33.91882658004761,0.9731002032756806,0.0331421485170722,0.00430297675775364,28927.0,30000.0,27000.0,890.8171164989471,28927.0,0.9731002032756806,27000.0,890.8171164989471,28927.0,0.0331421485170722,27000.0,890.8171164989471,28927.0,0.00430297675775364,27000.0,890.8171164989471,28927.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,hook,target_eval_loss,hook_loss0p006253,False,False,stopped_on_target,True,7,31.546618938446045,5740.0,263.7579607963562,1593.0,17.0722,19.0274,0.006253,27000,1,3000,1000,30.0,5740.0,8740.0,214.0936198234558,238.87751293182373,24.78389310836792,31.546618938446045,0.9606584072113037,0.050995238684117795,0.005720830603968352,25019.0,8740.0,5740.0,214.0936198234558,25019.0,0.9606584072113037,5740.0,214.0936198234558,25019.0,0.050995238684117795,5740.0,214.0936198234558,25019.0,0.005720830603968352,5740.0,214.0936198234558,25019.0,4791.0,7791.0,184.07850909233093,204.97844743728638,7791.0,31.14668998718262,0.9573415845632554,0.055846394039690495,0.0061235305038280785,23491.0
4DGaussians (Wu et al.),4DGaussians,jumpingjacks,iterations,jumpingjacks_iters27000,False,False,finished,False,28,36.00020179748535,27000.0,997.5620229244232,1613.0,19.7658,25.6618,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,852.0911548137665,963.7882697582245,111.69711494445801,36.00020179748535,0.9855110973119736,0.019346951402258127,0.002414521705941297,21543.0,30000.0,27000.0,852.0911548137665,21543.0,0.9855110973119736,27000.0,852.0911548137665,21543.0,0.019346951402258127,27000.0,852.0911548137665,21543.0,0.0024142859474522993,25000.0,791.7369301319122,21543.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,jumpingjacks,target_eval_loss,jumpingjacks_loss0p00461,False,False,stopped_on_target,True,7,32.12856311798096,6104.0,269.547162771225,1611.0,19.3914,21.3515,0.00461,27000,1,3000,1000,30.0,6104.0,9104.0,213.63079500198364,238.34123516082764,24.710440158843994,32.12856311798096,0.9746199786663056,0.036557106953114274,0.003974720934638754,19960.0,9104.0,6104.0,213.63079500198364,19960.0,0.9746199786663056,6104.0,213.63079500198364,19960.0,0.036557106953114274,6104.0,213.63079500198364,19960.0,0.003974720934638754,6104.0,213.63079500198364,19960.0,5091.0,8091.0,183.6117651462555,204.4783992767334,8091.0,31.00150442123413,0.9713394731283188,0.03956993212923408,0.004438710288377478,19145.0
4DGaussians (Wu et al.),4DGaussians,lego,iterations,lego_iters27000,False,False,finished,False,28,24.943559074401854,6000.0,1732.028739452362,1685.0,30.5382,37.2754,0.0,27000,1,3000,1000,30.0,27000.0,30000.0,1590.7019324302673,1707.9769773483276,117.2750449180603,24.815858936309816,0.9360281139612198,0.060461390390992166,0.013059167843312024,89387.0,30000.0,6000.0,325.26494455337524,72763.0,0.9364751160144806,15000.0,863.3998599052429,89387.0,0.060461390390992166,27000.0,1590.7019324302673,89387.0,0.012825168156996369,10000.0,558.147528886795,85597.0,,,,,,,,,,
4DGaussians (Wu et al.),4DGaussians,lego,target_eval_loss,lego_loss0p013466,False,False,stopped_on_target,True,11,24.876537990570068,6331.0,402.8512086868286,1675.0,26.7722,29.4379,0.013466,27000,1,3000,1000,30.0,6331.0,9331.0,337.972980260849,381.04442596435547,43.07144570350647,24.876537990570068,0.9314864307641983,0.07181940302252769,0.013216367363929749,73464.0,9331.0,6331.0,337.972980260849,73464.0,0.9314864307641983,6331.0,337.972980260849,73464.0,0.07181940302252769,6331.0,337.972980260849,73464.0,0.013216367363929749,6331.0,337.972980260849,73464.0,5781.0,8781.0,307.96152424812317,346.9353642463684,8781.0,24.807134056091307,0.9305237203836441,0.07254946604371071,0.013415028946474195,70642.0
