method,scene,partial,best_psnr,best_psnr_iter,best_ssim,best_lpips,best_eval_l1_loss,final_psnr,final_total_iterations,final_training_time_s,final_num_gaussians,peak_vram_mb,process_wall_time_s,psnr_drop_peak_to_end,s_per_1k_iters,batch_size,final_images_seen
4DGS native-4D (fudan-zvg),bouncingballs,False,33.2451189994812,16000.0,0.9840422093868256,0.0288435051217675,0.0048409665818326,33.05039329528809,30000.0,3462.619880437851,126958.0,1685.0,3628.22523522377,0.19472570419311097,115.4206626812617,2,60000.0
4DGaussians (Wu et al.),bouncingballs,False,37.11958723068237,19000.0,0.9915353298187256,0.0158527263440191,0.0028427215409465,37.0787992477417,30000.0,2284.240278720856,120372.0,1805.0,2461.805992603302,0.040787982940670986,76.14134262402854,1,30000.0
Deformable-3DGS (Yang et al.),bouncingballs,False,40.65760498046875,28000.0,0.9957667112350465,0.0089937598444521,0.0020631009130738,40.6409517288208,30000.0,3055.3847041130066,67011.0,3515.0,3233.2903413772583,0.016653251647944955,101.84615680376689,1,30000.0
4DGS native-4D (fudan-zvg),hellwarrior,False,33.93004302978515,10000.0,0.9544995129108428,0.0698848657310009,0.0051030948758125,33.71167087554932,30000.0,2186.04620718956,410118.0,2539.0,2487.404345273972,0.2183721542358299,72.86820690631866,1,30000.0
4DGaussians (Wu et al.),hellwarrior,False,38.65237560272217,27000.0,0.9762926816940308,0.0503690650686621,0.002580746251624,38.65237560272217,30000.0,756.209963798523,7259.0,1579.0,899.5082948207855,0.0,25.206998793284097,1,30000.0
Deformable-3DGS (Yang et al.),hellwarrior,False,41.06780471801758,29000.0,0.9863709717988968,0.0270487954374402,0.0018942582595627,41.03799552917481,30000.0,1132.601886510849,17723.0,3113.0,1276.4511632919312,0.029809188842769174,37.7533962170283,1,30000.0
4DGS native-4D (fudan-zvg),hook,False,31.896457290649412,5000.0,0.9608218938112258,0.0428068052046001,0.0059557125088758,30.640374755859376,30000.0,10312.756108522415,364230.0,2587.0,10478.963416337969,1.2560825347900355,343.75853695074716,8,240000.0
4DGaussians (Wu et al.),hook,False,33.91882658004761,27000.0,0.9731002032756806,0.0331421485170722,0.0043029767577536,33.91882658004761,30000.0,890.8171164989471,28927.0,1599.0,1035.402200460434,0.0,29.693903883298237,1,30000.0
Deformable-3DGS (Yang et al.),hook,False,36.76893892288208,28000.0,0.985181137919426,0.0172011138871312,0.0031197622301988,36.7601357460022,30000.0,2544.635057449341,61053.0,2999.0,2702.682200908661,0.00880317687987997,84.8211685816447,1,30000.0
4DGS native-4D (fudan-zvg),jumpingjacks,True,32.24644212722778,5000.0,0.9716948211193084,0.0338386252522468,0.0043908933468628,30.109956550598145,15000.0,11584.13407111168,976051.0,,,2.136485576629635,772.2756047407787,16,240000.0
4DGaussians (Wu et al.),jumpingjacks,False,36.00020179748535,27000.0,0.9855110973119736,0.0193469514022581,0.0024142859474522,36.00020179748535,30000.0,852.0911548137665,21543.0,1613.0,997.5620229244232,0.0,28.403038493792216,1,30000.0
Deformable-3DGS (Yang et al.),jumpingjacks,False,37.21092548370361,30000.0,0.9889954626560212,0.014513738558162,0.0021516041641007,37.21092548370361,30000.0,1574.3018901348114,31467.0,3695.0,1750.8845720291138,0.0,52.47672967116038,1,30000.0
4DGS native-4D (fudan-zvg),lego,False,,,,,,,,,,953.0,150.7603633403778,,,2,
4DGaussians (Wu et al.),lego,False,24.94355907440185,6000.0,0.9364751160144806,0.0604613903909921,0.0128251681569963,24.815858936309816,30000.0,1590.701932430267,89387.0,1685.0,1732.028739452362,0.12770013809203462,53.02339774767557,1,30000.0
Deformable-3DGS (Yang et al.),lego,False,25.063347816467285,14000.0,0.9450328141450882,0.0438590427860617,0.0121479943860322,24.945990371704102,30000.0,5126.987102031708,128193.0,3881.0,5309.267605304718,0.11735744476318288,170.8995700677236,1,30000.0
4DGS native-4D (fudan-zvg),mutant,False,37.07371587753296,11000.0,0.983818092942238,0.0175136751960963,0.0029577590932603,36.50708694458008,30000.0,9039.071042060852,175706.0,2287.0,9216.862914562224,0.5666289329528809,301.30236806869505,8,240000.0
4DGaussians (Wu et al.),mutant,False,38.83313522338867,27000.0,0.98587626516819,0.0209231380373239,0.0024098250141832,38.83313522338867,30000.0,908.7863159179688,30161.0,1609.0,1050.6668543815613,0.0,30.292877197265625,1,30000.0
Deformable-3DGS (Yang et al.),mutant,False,41.85855560302734,29000.0,0.9941510200500489,0.006975015765056,0.0016534362424863,41.847090339660646,30000.0,2867.8273940086365,73928.0,3513.0,3041.050560951233,0.011465263366694955,95.59424646695454,1,30000.0
4DGS native-4D (fudan-zvg),standup,False,38.46521148681641,10000.0,0.9863893657922744,0.0156162042170763,0.0020651724655181,37.61511039733887,30000.0,8895.630875110626,219169.0,2243.0,9206.58942270279,0.8501010894775405,296.5210291703542,8,240000.0
4DGaussians (Wu et al.),standup,False,40.53289413452149,27000.0,0.989390715956688,0.0161309808958321,0.0016326091135852,40.53289413452149,30000.0,795.752632856369,14203.0,1603.0,935.2148416042328,0.0,26.525087761878968,1,30000.0
Deformable-3DGS (Yang et al.),standup,False,43.438557624816895,30000.0,0.994010517001152,0.0089459370356053,0.0012335288367467,43.438557624816895,30000.0,1403.4443521499634,28048.0,3515.0,1560.69508600235,0.0,46.78147840499878,1,30000.0
4DGS native-4D (fudan-zvg),trex,True,30.39183301925659,4000.0,0.9776804178953172,0.025646558497101,0.0055168284336104,29.929743385314943,6000.0,6369.5396292209625,844039.0,,,0.46208963394164826,1061.5899382034938,24,144000.0
4DGaussians (Wu et al.),trex,False,33.40387020111084,27000.0,0.9850053906440734,0.0203693951945751,0.003803189494647,33.40387020111084,30000.0,1328.4740025997162,72110.0,1735.0,1475.640379905701,0.0,44.282466753323874,1,30000.0
Deformable-3DGS (Yang et al.),trex,False,37.67088356018066,30000.0,0.9930766344070434,0.0104652092559263,0.0021571319841314,37.67088356018066,30000.0,3553.6607089042664,95768.0,5065.0,3723.15250492096,0.0,118.45535696347555,1,30000.0
