method,scene,batch_size,target_eval_loss,fc_total_iterations,fc_images_seen,fc_training_time_s,fc_psnr,fc_ssim,fc_lpips,fc_num_gaussians,final_total_iterations,final_training_time_s,best_psnr,final_psnr,final_ssim,final_lpips,final_eval_l1_loss,final_num_gaussians,model_storage_mb,full_folder_mb,peak_vram_mb,status,target_reached
4DGS native-4D (fudan-zvg),bouncingballs,2,0.005083,8916.0,17832.0,992.090488433838,32.80524339675903,0.9836497336626052,0.0307168844621628,119062.0,10141.0,1142.3722932338717,32.95637502670288,32.91668329238892,0.9838807076215744,0.0298587657511234,0.0050677705672569,125436.0,77.0386,483.2027,1771.0,stopped_on_target,True
4DGaussians (Wu et al.),bouncingballs,1,0.005083,5576.0,5576.0,194.5018916130066,31.336841297149657,0.981890007853508,0.0295389015227556,43507.0,6078.0,224.50842809677124,32.364567852020265,32.364567852020265,0.9830032348632812,0.0313873674720525,0.004850143881049,48071.0,24.2821,26.028,1585.0,stopped_on_target,True
Deformable-3DGS (Yang et al.),bouncingballs,1,0.005083,5636.0,5636.0,270.238783121109,32.14067888259888,0.9846430271863936,0.030790695734322,41239.0,5991.0,300.2661392688751,32.14067888259888,31.42466297149658,0.9844507604837418,0.0273331459611654,0.0047838018042966,43521.0,12.2945,15.9681,3515.0,stopped_on_target,True
4DGS native-4D (fudan-zvg),hellwarrior,1,0.005358,4836.0,4836.0,240.21802353858948,33.66022806167602,0.9532923817634582,0.0890100292861461,80189.0,6545.0,330.26595520973206,33.88154420852661,33.71695404052734,0.953313997387886,0.0843449952080845,0.0052207679953426,120075.0,73.746,458.1721,1645.0,stopped_on_target,True
4DGaussians (Wu et al.),hellwarrior,1,0.005358,4019.0,4019.0,61.01320958137512,33.36820201873779,0.9468143850564956,0.1015598710626363,4741.0,5053.0,91.01702332496644,34.97339515686035,34.97339515686035,0.955377933382988,0.0906664174050092,0.0043827742221765,5445.0,12.4428,13.4696,1547.0,stopped_on_target,True
Deformable-3DGS (Yang et al.),hellwarrior,1,0.005358,4887.0,4887.0,120.01931071281432,34.423896408081056,0.9579458683729172,0.0850714534521102,9454.0,5753.0,150.0553605556488,35.054840660095216,35.054840660095216,0.960711634159088,0.0771056100726127,0.0040189331863075,12246.0,4.8976,8.5109,3113.0,stopped_on_target,True
4DGS native-4D (fudan-zvg),hook,8,0.006253,2883.0,23064.0,875.3969252109528,31.51965789794922,0.9589796423912048,0.0500430524349212,104829.0,2994.0,905.5837428569794,31.56645174026489,31.56645174026489,0.9592937231063844,0.0496457846835255,0.0061981101520359,109036.0,66.9662,416.8517,2385.0,stopped_on_target,True
4DGaussians (Wu et al.),hook,1,0.006253,7791.0,7791.0,184.07850909233093,31.14668998718262,0.9573415845632554,0.0558463940396904,23491.0,8740.0,214.0936198234558,31.546618938446045,31.546618938446045,0.9606584072113036,0.0509952386841177,0.0057208306039683,25019.0,17.0722,19.0274,1593.0,stopped_on_target,True
Deformable-3DGS (Yang et al.),hook,1,0.006253,7941.0,7941.0,390.3977971076965,31.415509510040284,0.964695593714714,0.0444799811579287,52186.0,9595.0,540.6536478996277,31.415509510040284,30.90335092544556,0.9615158051252364,0.0406655675731599,0.0061795175657607,56317.0,15.3208,19.5974,2999.0,stopped_on_target,True
4DGS native-4D (fudan-zvg),jumpingjacks,16,0.00461,2773.0,44368.0,1519.1218283176422,31.790664768219,0.9705079078674316,0.0396057144738733,133541.0,2834.0,1549.3596498966217,31.790664768219,31.75555543899536,0.9703658431768416,0.0398565507493913,0.0046004879754036,142482.0,87.5076,541.0834,2563.0,stopped_on_target,True
